A.1	0.3
A.10	0.4
A.11	0.0
A.12	0.1
A.13	0.4
A.14	0.2
A.15	0.0
A.16	0.0
A.17	0.6
A.18	0.2
A.19	0.5
A.20	0.2
A.21	0.6
A.23	0.4
A.24	0.0
A.26	0.1
A.27	0.3
A.28	0.0
A.29	0.0
A.3	0.0
A.30	0.2
A.32	0.8
A.33	0.4
A.35	0.5
A.36	0.3
A.37	0.0
A.38	0.9
A.39	0.2
A.4	0.4
A.40	0.4
A.41	0.3
A.42	0.1
A.43	0.0
A.44	0.0
A.45	0.2
A.47	0.3
A.48	0.1
A.49	0.1
A.5	0.6
A.50	0.1
A.51	0.2
A.52	0.4
A.53	0.1
A.54	0.0
A.55	0.6
A.56	0.1
A.58	0.0
A.59	0.6
A.60	0.3
A.61	0.8
A.62	0.4
A.63	0.1
A.65	0.0
A.66	0.1
A.67	0.5
A.68	0.1
A.69	0.4
A.7	0.3
A.72	0.2
A.74	0.0
A.75	0.3
A.77	0.4
A.79	0.5
A.8	0.8
A.80	0.5
A.83	0.2
A.85	0.0
A.86	0.0
A.87	0.3
A.88	0.2
A.89	0.2
A.9	0.0
A.90	0.2
A.93	0.0
A.96	0.0
A.98	0.1
A.99	0.0
A.201	0.1
A.202	0.0
A.203	0.2
A.204	0.0
A.205	0.1
A.206	0.3
A.207	0.1
A.208	0.0
A.209	0.1
A.210	0.1
A.211	0.0
A.212	0.2
A.213	0.2
A.214	0.2
A.215	0.0
A.216	0.0
A.217	0.1
A.218	0.1
A.219	0.2
A.220	0.7
A.221	0.0
A.222	0.0
A.223	0.1
A.224	0.0
A.225	0.3
A.227	0.0
A.228	0.1
A.229	0.0
A.230	0.0
A.231	0.2
A.234	0.0
A.235	0.2
A.236	0.0
A.237	1.0
A.238	0.0
A.239	0.3
A.241	0.1
A.242	0.3
A.243	0.0
A.244	0.3
A.245	0.0
A.246	0.2
A.249	0.3
A.250	0.2
A.251	0.1
A.252	0.0
A.253	0.0
A.254	0.1
A.255	0.1
A.256	0.4
A.257	0.4
A.258	0.4
A.259	0.4
A.260	0.1
A.261	0.1
A.262	0.1
A.263	0.3
A.264	0.2
A.265	0.1
A.266	0.0
A.268	0.7
A.269	0.9
A.270	0.3
A.272	0.1
A.273	0.1
A.275	0.5
A.276	0.5
A.277	0.0
A.278	0.1
A.279	0.3
A.280	0.0
A.281	0.3
A.282	0.0
A.283	0.2
A.284	0.0
A.285	0.4
A.286	0.2
A.287	0.7
A.288	0.0
A.289	0.0
A.290	0.0
A.291	0.0
A.292	0.3
A.293	0.1
A.295	0.7
A.296	0.3
A.298	0.2
A.299	0.3
A.300	0.2
A.301	0.4
A.302	0.2
A.303	0.0
A.304	0.3
A.305	0.0
A.306	0.0
A.307	0.4
A.308	0.3
A.309	0.2
A.310	0.1
A.312	0.2
A.313	0.3
A.314	0.1
A.315	0.3
A.316	0.1
A.317	0.4
A.318	0.5
A.319	0.1
A.320	0.4
A.322	0.7
A.324	0.1
A.325	0.0
A.326	0.2
A.327	0.0
A.328	0.9
A.329	0.4
A.330	0.5
A.331	0.4
A.332	0.0
A.333	0.1
A.337	0.1
A.338	0.0
A.339	0.2
A.340	0.1
A.342	0.0
A.344	0.2
A.345	0.4
A.346	0.1
A.347	0.4
A.348	0.0
A.349	0.1
A.350	0.4
A.352	0.5
A.353	0.7
A.354	0.0
A.355	0.7
A.356	0.0
A.357	0.0
A.358	0.3
A.359	0.5
A.360	0.1
A.361	0.0
A.362	0.2
A.363	0.0
A.364	0.9
A.365	0.2
A.366	0.2
A.368	0.1
A.369	0.3
A.370	0.5
A.371	0.3
A.372	0.3
A.373	0.1
A.375	0.0
A.376	0.2
A.378	0.6
A.379	0.0
A.381	0.3
A.382	0.1
A.383	0.1
A.384	0.5
A.385	0.3
A.387	0.3
A.388	0.6
A.389	0.0
A.391	0.2
A.394	0.1
A.399	0.3
