A.1	$c$ को मूल्य पत्ता लगाउने ताकि तर्कसंगत प्रकार्य $f(x) = \frac{x^2 + x + c}{x^2 + 2x + c}$ को दायरा $[-1, -\frac{1}{3}]$ समावेश गर्दैन	म सहज छु जब मलाई तर्कसंगत प्रकार्यको दायरा गणना गर्न भनिएको छ, तर हामी उल्टो कसरी गर्छौं? म यो समस्यामा आएको छु। यदि $$f(x)= \frac{x^2 + x + c}{x^2 + 2x + c}$$ त्यसपछि $c$ को मान फेला पार्नुहोस् जसको लागि $f(x)$ को दायरा $[-1, -\frac{1}{3}]$ समावेश गर्दैन।	functions
A.2	फारम $f'(x)=f(x+1)$ को भिन्नता समीकरणहरूको समाधान	निम्न प्रकारको भिन्नता समीकरणहरू कसरी समाधान गर्नेः $\frac{df}{dx} = f(x+1)$	ordinary-differential-equations
A.3	$\sqrt{5}$ को सही $10^{-10}$ को सटीकता को नजिक	म निम्न समस्या समाधान गर्न प्रयास गर्दैछुः बिसेक्शन एल्गोरिथ्म प्रयोग गरेर $\sqrt{5}$ को सटीकता $10^{-10}$ को लागि $\sqrt{5}$ को नजिकको खोज्नुहोस्। मैले बुझेको कुराबाट, $\sqrt{5}$ लाई $x$ को प्रकार्यमा राख्नु पर्छ तर म त्यहाँबाट कहाँ जान सक्छु भन्ने बारे निश्चित छैन। साथै, गणितमा एक प्रकार्य दिइन्छ जसमा गणनाहरू गरिन्छ जसमा $f(x)$, $a$ र $b$ प्रकार्यहरू (अन्तर $[a, b]$ बाट जहाँ $f(a)$ र $f(b)$ सँग विपरीत संकेतहरू छन्), सहिष्णुता र पुनरावृत्तिहरूको संख्या।	numerical-methods,algorithms,bisection
A.4	यो संयोजन योग कसरी गणना गर्ने?	म $$\sum_{k=0}^{n} \binom{n}{k} k$$ को योग छ म $n 2^{n-1}$ को परिणाम थाहा छ तर म कसरी त्यहाँ प्राप्त थाहा छैन. कसरी एक पनि यस्तो योग सरल गर्न सुरु हुन्छ कि बाइनोमल गुणांक छ।	combinatorics,number-theory,summation,proof-explanation
A.5	एउटा परिवारमा दुई बच्चा छन्। एउटा बच्चा केटा हो भनेर विचार गर्दा दुवै बच्चा केटा हो भन्ने सम्भावना कति छ?	एउटा परिवारमा दुई बच्चा छन्. बच्चाहरु मध्ये एक जना केटा हो भन्ने कुरालाई ध्यानमा राख्दै, दुवै बच्चा केटा हो भन्ने सम्भावना कति छ? म सशर्त सम्भावना सूत्र प्रयोग गरेर यो प्रश्न गरिरहेको थिएँ। मानौं, (1) घटना हो, कि पहिलो बच्चा केटा हो, र (2) घटना हो कि दोस्रो बच्चा केटा हो। त्यसपछि पहिलो बच्चा केटा हो भन्ने सम्भावनालाई ध्यानमा राख्दै पहिलो बच्चा केटा हो, $P((2)|(1))=\frac{P((2) \cap (1))}{P((1))}=\frac{P((2))P((1))}{P((1))} = P((2))$ ...किनकि दोस्रो बच्चा केटा हो भन्ने सम्भावना पहिलो बच्चामा निर्भर गर्दैन र यसको विपरित। कृपया विस्तृत समाधान दिनुहोस् र मलाई सही गर्नुहोस् यदि म गलत छु भने।	probability,proof-verification,conditional-probability
A.6	कसरी ठूलो exponent संग संख्या को mod गणना गर्न	म $$ 5^{133} \mod 8. $$ पाउन चाहन्छु मैले $5^n \mod 8 = 5$ जब $n$ असमान छ र 1 अन्यथा, जो मलाई भन्न $5^{133} \mod 8 = 5$ हुन सक्छ तर म यो कसरी प्रमाणित गर्न थाहा छैन. म कसरी यो मामला हो भनेर प्रमाणित गर्न सक्नुहुन्छ (वा अर्को समाधान खोज्न यदि यो छैन भने)?	algebra-precalculus,arithmetic
A.7	मोड्युलस प्रयोग गरेर $\frac{11^\text{10}-1}{100}$ को बाँकी भाग पत्ता लगाउने	यदि $11^\text{10}-1$ को भाग $100$ हो, त्यसपछि तलको शब्द $$11^\text{10}-1 = x \pmod{100}$$ को '$x$' को लागि समाधान गर्नुहोस् मैले जे पनि प्रयास गरेंः $11^\text{2} \equiv 21 \pmod{100}$.....(1) $(11^\text{2})^\text{2} \equiv (21)^\text{2} \pmod{100}$ $11^\text{4} \equiv 441 \pmod{100}$ $11^\text{4} \equiv 41 \pmod{100}$ $(11^\text{4})^\text{2} \equiv (41)^\text{2} \pmod{100}$ $11^\text{10}-1$0 $11^\text{10}-1$1 $11^\text{10}-1$2 ......{ देखि (1)} $11^\text{10}-1$3 यसैले, $11^\text{10}-1$4 र यसैले हामी $x$ को मान प्राप्त गर्छौं र यो $11^\text{10}-1$5 हो र $11^\text{10}-1$ $100$ द्वारा विभाजित हुन्छ। तर यो दृष्टिकोणले कुनै पनि प्रतिस्पर्धी परीक्षा वा कुनै पनि गणित प्रतियोगिताको लागि लामो समय लिन्छ क्यालकुलेटर प्रयोग नगरी। माथि उल्लेखित समस्याको बाँकी भाग कसरी छिटो निर्धारण गर्ने भन्ने बारे कुनै सजिलो प्रक्रिया? त्यो मेरो लागि धेरै उपयोगी हुनेछ। अग्रिम धन्यवाद।	elementary-number-theory,modular-arithmetic,divisibility,alternative-proof
A.8	$\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ को मूल्य पत्ता लगाउने	$\lim_{n\rightarrow \infty}\sqrt[n]{\frac{(27)^n(n!)^3}{(3n)!}}$ को मान पत्ता लगाउन म के प्रयास $\displaystyle l=\lim_{n\rightarrow \infty}\bigg(\frac{(27)^n(n!)^3}{(3n)!}\bigg)^{\frac{1}{n}}$ $\displaystyle \ln(l)=\lim_{n\rightarrow \infty}\frac{1}{n}\bigg[n\ln(27)+3\ln(n!)-\ln((3n)!)\bigg]$ म कसरी यसलाई समाधान गर्न मलाई मद्दत गर्नुहोस् कृपया	limits
A.9	यस श्रृंखलालाई सरल बनाउने	म एक प्रकारले $$\sum_{n=0}^N nx^n$$ को श्रृंखला लेख्न आवश्यक छ कि योग संकेतन समावेश गर्दैन, उदाहरणका लागि $\sum_{i=0}^n i^2 = \frac{(n^2+n)(2n+1)}{6}$ । कसैले यो कसरी गर्ने कुनै विचार छ? म धेरै तरिका प्रयोग गरी प्रयास गरेको छु जसमा उत्पन्न प्रकार्यहरू प्रयोग तर कुनै भाग्य	sequences-and-series
A.10	अ> ० को मानहरू फेला पार्नुहोस् जसको लागि गलत पूर्णांक $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ समावेशी हुन्छ ।	एक>0 को मानहरू फेला पार्नुहोस् जसको लागि गलत समाकलन $\int_{0}^{\infty}\frac{\sin x}{x^{a}} $ समाकलन हुन्छ। के मैले समाकलन विस्तार र श्रृंखला विस्तार प्रयोग गर्नु पर्छ?	improper-integrals
